name,province,address,latitude,longitude,reward,uuid,created_at
Aiora - València,València,València,39.466426888957855,-0.3429694478792123,,,
Albors - València,València,València,39.45184842543768,-0.3744655348329015,,,
Amistat - València,València,València,39.47033313859402,-0.35039445791104473,,,
Arrancapins - València,València,València,39.49567884866867,-0.3962106880814399,,,
Benicalap - València,València,València,39.49002842050058,-0.39092779132445155,,,
Benifaraig - València,València,València,39.52526656567516,-0.386220935518191,,,
Beniferri - València,València,València,39.44294482850522,-0.3979404612867789,,,
Benimaclet - València,València,València,39.48485187642764,-0.3623333272775772,,,
Benimàmet - València,València,València,39.501876870507694,-0.41941112325677876,,,
Beteró - València,València,València,39.500442767528405,-0.3931026117117435,,,
Borbotó - València,València,València,39.41949515652359,-0.3359740588533517,,,
Cabanyal - València,València,València,39.47285465383452,-0.32758334324746624,,,
Cabanyal-Canyamelar - València,València,València,39.46652225619434,-0.32793200041807286,,,
Campanar - València,València,València,39.48463062443623,-0.3950361010065258,,,
Camí Fondo - València,València,València,39.4659066166748,-0.3534127384968046,,,
Camí Real - València,València,València,39.44548434273936,-0.3732921246429325,,,
Carpesa - València,València,València,39.51769828167446,-0.3863323020915442,,,
Castellar-L'Oliveral - València,València,València,39.42229023928656,-0.350352697146305,,,
Ciutat Fallera - València,València,València,39.49751250712938,-0.3949398474370588,,,
Ciutat Jardí - València,València,València,39.47683767702657,-0.3592042941014716,,,
Ciutat Universitària - València,València,València,39.480124866070085,-0.358121499594735,,,
Ciutat Vella - València,València,València,39.4669226,-0.3771506,,,
Ciutat de les Arts i les Ciències - València,València,València,39.45259203991893,-0.35321599977945467,,,
El Botànic - València,València,València,39.4721221939705,-0.3843959717064521,,,
El Calvari - València,València,València,39.48811804199917,-0.3895859180951039,,,
El Carme - València,València,València,39.48037510519851,-0.3777590314775099,,,
El Forn d'Alcedo - València,València,València,39.43130645615207,-0.3771484143802301,,,
El Grau - València,València,València,39.42342031768482,-0.370490966209295,,,
El Mercat - València,València,València,39.47511272140295,-0.3808729918214302,,,
El Palmar - València,València,València,39.48882829404498,-0.3750146568891615,,,
El Perellonet - València,València,València,39.43395856502526,-0.3911214354693307,,,
El Pilar - València,València,València,39.47391368850487,-0.3838070255358186,,,
El Pla del Remei - València,València,València,39.47777580159739,-0.3947695586673236,,,
El Saler - València,València,València,39.38320878943973,-0.3325454277289312,,,
Els Orriols - València,València,València,39.49314884351592,-0.367663622109971,,,
En Corts - València,València,València,39.46706816175477,-0.41286514104078,,,
Exposició - València,València,València,39.467204464180085,-0.4150691089234118,,,
Faitanar - València,València,València,39.440811196343056,-0.4106472133564586,,,
Favara - València,València,València,39.46806687015479,-0.3430273936845312,,,
Grao - València,València,València,39.463100473242235,-0.32947200549337935,,,
Jaume Roig - València,València,València,39.48319549974947,-0.3629854002034975,,,
L'Amistat - València,València,València,39.281796902694346,-0.2799527151621057,,,
L'Hort de Senabre - València,València,València,39.45752170203241,-0.4033659197447694,,,
L'Illa Perduda - València,València,València,39.46656892180454,-0.3368632894936513,,,
La Carrasca - València,València,València,39.479660074044666,-0.3448249995342744,,,
La Coma - València,València,València,39.52495960421599,-0.43582499030541805,,,
La Creu Coberta - València,València,València,39.4278676053088,-0.3849761337051897,,,
La Creu del Grau - València,València,València,39.46310543099896,-0.3446181307742784,,,
La Fonteta de Sant Lluís - València,València,València,39.4411351,-0.3660763,,,
La Fontsanta - València,València,València,39.46601550766199,-0.382265317338038,,,
La Gran Via - València,València,València,39.46545629263329,-0.3651252342108835,,,
La Llum - València,València,València,39.46747790499429,-0.4144577719427557,,,
La Malva-Rosa - València,València,València,39.47624892503862,-0.3278526044683693,,,
La Petxina - València,València,València,39.4759735263533,-0.3935864524423519,,,
La Punta - València,València,València,39.44555403210104,-0.340578428597551,,,
La Raiosa - València,València,València,39.456923357109,-0.3870652728562041,,,
La Roqueta - València,València,València,39.486993814193085,-0.367890669287239,,,
La Seu - València,València,València,39.47246202669662,-0.4006458202088345,,,
La Torre - València,València,València,39.43481753539517,-0.3910384557836868,,,
La Vega Baixa - València,València,València,39.43266143813121,-0.3624422455634721,,,
La Xerea - València,València,València,39.47315601519005,-0.36531665913727224,,,
Les Cases de Barcena - València,València,València,39.45919584810887,-0.3338278059221261,,,
Les Tendetes - València,València,València,39.45633316696709,-0.4010726741125379,,,
Malilla - València,València,València,39.44551562011186,-0.3817499907306714,,,
Marxalenes - València,València,València,39.48797229915813,-0.3838368950525468,,,
Mestalla - València,València,València,39.47506340241341,-0.3557791218714068,,,
Montolivet - València,València,València,39.45937303938424,-0.36511000042950803,,,
Moreres - València,València,València,39.450150039275506,-0.3384079998144471,,,
Morvedre - València,València,València,39.48632751204083,-0.3706555548667378,,,
Na Rovella - València,València,València,39.447297352157136,-0.3911919986708564,,,
Natzaret - València,València,València,39.44988903943966,-0.3346740002450643,,,
Nou Moles - València,València,València,39.47271591004903,-0.4028089982171465,,,
Orriols - València,València,València,39.494918863018285,-0.36554199490941947,,,
Patraix - València,València,València,39.45645145583467,-0.3905083240820051,,,
Penya-Roja - València,València,València,39.45742892594355,-0.345891153851769,,,
Pinedo - València,València,València,39.42169734723553,-0.3406249446178361,,,
Poble Nou - València,València,València,39.505061345957685,-0.3836591454923775,,,
Russafa - València,València,València,39.46391303921369,-0.36953100016440554,,,
Safranar - València,València,València,39.49595060627399,-0.3541326622459023,,,
Sant Antoni - València,València,València,39.49157591935421,-0.3739543284545852,,,
Sant Francesc - València,València,València,39.47380978931697,-0.3918546531177875,,,
